id_participant,timestamp,This app is easy to use.,How often do you wear your watch in a week?,The notifications on the watch were annoying.,The notifications on the phone were annoying.,I answered the the question on the watch honestly.,The Cozie app feels fast and responsive.,The notifications helped to change my mind.,I changed my location after seeing the notifications.,"Overall, how satisfied are you with the Cozie app?",How would you rate the overall quality of the app?,How likely are you to recommend this app to a friend or colleague?,The noise and/or temperature intervention messages were helpful to me in understanding how to improve my indoor environmental satisfaction.,"Over the past week, I changed my location after receiving the noise intervention messages. ","Over the past week, I put on my earphones to mitigate noise distractions after receiving the noise intervention messages.","Over the past week, I changed my location, adjusted the thermostat, fan etc. to feel thermally comfortable after receiving the temperature intervention messages.",The intervention messages were annoying.
orenth03,2022-10-26 07:37:07.770000+00:00,Strong Agree,>50 hours,Somewhat disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Occasionally,Very satisfied,Good,Likely,,,,,
orenth04,2022-10-12 03:44:37.217000+00:00,Somewhat disagree,40-50 hours,Disagree,Somewhat disagree,Strong Agree,Somewhat agree,Neutral,Never,Somewhat satisfied,Fair,Neutral,,,,,
orenth04,2022-10-23 04:29:12.833000+00:00,Somewhat disagree,40-50 hours,Disagree,Disagree,Strong Agree,Agree,Disagree,Very rarely,Somewhat satisfied,Fair,Unlikely,,,,,
orenth04,2022-11-03 10:06:18.638000+00:00,Somewhat disagree,10-20 hours,Disagree,Disagree,Strong Agree,Disagree,Disagree,Never,Not so satisfied,Fair,Unlikely,,,,,
orenth05,2022-10-23 11:00:11.359000+00:00,Strong Agree,>50 hours,Somewhat disagree,Disagree,Strong Agree,Neutral,Disagree,Rarely,Extremly satisfied,Good,Extremely likely,,,,,
orenth05,2022-10-29 16:12:29.548000+00:00,Strong Agree,>50 hours,Disagree,Disagree,Strong Agree,Strong Agree,Disagree,Rarely,Very satisfied,Good,Likely,,,,,
orenth05,2022-11-04 10:43:44.313000+00:00,Strong Agree,>50 hours,Disagree,Disagree,Strong Agree,Agree,Neutral,Rarely,Very satisfied,Good,Likely,,,,,
orenth05,2022-11-13 13:18:00.918000+00:00,Strong Agree,>50 hours,Disagree,Somewhat disagree,Strong Agree,Strong Agree,Neutral,Rarely,Very satisfied,Good,Likely,,,,,
orenth06,2022-10-20 01:44:14.293000+00:00,Strong Agree,10-20 hours,Disagree,Disagree,Agree,Agree,Neutral,Rarely,Very satisfied,Good,Likely,,,,,
orenth06,2022-10-26 06:14:13.537000+00:00,Strong Agree,10-20 hours,Disagree,Disagree,Agree,Agree,Agree,Rarely,Very satisfied,Excellent,Extremely likely,,,,,
orenth06,2022-11-02 01:14:33.271000+00:00,Strong Agree,>50 hours,Strongly disagree,Strongly disagree,Strong Agree,Strong Agree,Agree,Rarely,Extremly satisfied,Excellent,Extremely likely,,,,,
orenth07,2022-10-20 02:03:03.913000+00:00,Strong Agree,30-40 hours,Neutral,Somewhat disagree,Strong Agree,Strong Agree,Strong Agree,Never,Extremly satisfied,Excellent,Extremely likely,,,,,
orenth07,2022-10-26 07:13:22.249000+00:00,Strong Agree,40-50 hours,Somewhat agree,Neutral,Strong Agree,Strong Agree,Agree,Rarely,Extremly satisfied,Excellent,Extremely likely,,,,,
orenth07,2022-11-03 04:25:29.545000+00:00,Strong Agree,20-30 hours,Agree,Somewhat agree,Strong Agree,Strong Agree,Agree,Rarely,Extremly satisfied,Excellent,Extremely likely,,,,,
orenth08,2022-10-27 09:11:54.515000+00:00,Agree,40-50 hours,Neutral,Neutral,Strong Agree,Somewhat agree,Agree,Never,Very satisfied,Good,Neutral,,,,,
orenth08,2022-11-02 08:56:25.105000+00:00,Agree,>50 hours,Neutral,Neutral,Strong Agree,Agree,Disagree,Rarely,Somewhat satisfied,Good,Neutral,,,,,
orenth08,2022-11-09 07:17:33.704000+00:00,Agree,>50 hours,Neutral,Neutral,Strong Agree,Neutral,Disagree,Never,Somewhat satisfied,Fair,Neutral,,,,,
orenth08,2022-11-18 09:41:03.523000+00:00,Agree,>50 hours,Neutral,Neutral,Strong Agree,Agree,Somewhat disagree,Never,Somewhat satisfied,Fair,Neutral,,,,,
orenth09,2022-10-24 03:38:53.018000+00:00,Somewhat agree,20-30 hours,Somewhat disagree,Somewhat disagree,Strong Agree,Agree,Strongly disagree,Very rarely,Somewhat satisfied,Good,Likely,,,,,
orenth09,2022-11-01 02:44:42.532000+00:00,Agree,30-40 hours,Somewhat agree,Somewhat agree,Strong Agree,Agree,Neutral,Never,Very satisfied,Good,Likely,,,,,
orenth09,2022-11-21 15:04:33.205000+00:00,Agree,40-50 hours,Disagree,Strongly disagree,Agree,Agree,Neutral,Never,Very satisfied,Good,Likely,,,,,
orenth10,2022-11-02 00:37:03.639000+00:00,Somewhat agree,>50 hours,Neutral,Neutral,Strong Agree,Agree,Agree,Very rarely,Somewhat satisfied,Good,Likely,,,,,
orenth10,2022-11-08 10:20:36.154000+00:00,Agree,>50 hours,Neutral,Neutral,Strong Agree,Strong Agree,Somewhat agree,Never,Somewhat satisfied,Fair,Likely,,,,,
orenth11,2022-11-02 01:17:25.145000+00:00,Agree,10-20 hours,Disagree,Disagree,Agree,Somewhat agree,Neutral,Never,Somewhat satisfied,Good,Neutral,,,,,
orenth11,2022-11-09 01:14:18.013000+00:00,Agree,>50 hours,Disagree,Disagree,Agree,Agree,Neutral,Rarely,Somewhat satisfied,Good,Likely,,,,,
orenth12,2022-11-18 04:45:36.119000+00:00,Agree,40-50 hours,Disagree,Disagree,Strong Agree,Somewhat agree,Neutral,Never,Very satisfied,Excellent,Likely,,,,,
orenth12,2022-11-23 01:14:35.141000+00:00,Neutral,30-40 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Agree,Often,Often,Often,Agree
orenth12,2022-11-25 05:09:51.624000+00:00,Agree,30-40 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Often,Often,Always,Disgree
orenth12,2022-11-29 14:05:23.043000+00:00,Agree,30-40 hours,,,,Agree,,,Very satisfied,Good,Neutral,Agree,Often,Often,Often,Disgree
orenth13,2022-11-07 14:56:39.260000+00:00,Agree,30-40 hours,Somewhat disagree,Somewhat agree,Strong Agree,Strong Agree,Neutral,Rarely,Very satisfied,Excellent,Likely,,,,,
orenth13,2022-11-14 02:25:55.359000+00:00,Strong Agree,30-40 hours,Disagree,Disagree,Strong Agree,Agree,Somewhat disagree,Rarely,Very satisfied,Excellent,Likely,,,,,
orenth13,2022-11-21 08:43:48.911000+00:00,Strong Agree,30-40 hours,Somewhat disagree,Disagree,Strong Agree,Somewhat disagree,Somewhat agree,Rarely,Very satisfied,Excellent,Likely,,,,,
orenth14,2022-11-02 03:57:20.922000+00:00,Strong Agree,40-50 hours,Neutral,Neutral,Strong Agree,Strong Agree,Somewhat disagree,Rarely,Somewhat satisfied,Good,Likely,,,,,
orenth14,2022-11-09 07:12:55.693000+00:00,Strong Agree,>50 hours,Neutral,Neutral,Strong Agree,Strong Agree,Somewhat disagree,Never,Extremly satisfied,Good,Neutral,,,,,
orenth14,2022-11-18 06:57:55.521000+00:00,Agree,40-50 hours,Somewhat disagree,Somewhat disagree,Strong Agree,Agree,Somewhat agree,Rarely,Very satisfied,Good,Likely,,,,,
orenth14,2022-11-20 04:19:52.924000+00:00,Agree,40-50 hours,Somewhat disagree,Somewhat disagree,Agree,Strong Agree,Somewhat agree,Very rarely,Somewhat satisfied,Good,Neutral,,,,,
orenth14,2022-11-26 10:14:10.774000+00:00,Strongly agree,40-50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Seldom,Often,Often,Disgree
orenth15,2022-11-04 06:42:02.149000+00:00,Strong Agree,20-30 hours,Disagree,Disagree,Strong Agree,Agree,Neutral,Never,Very satisfied,Good,Neutral,,,,,
orenth15,2022-11-10 01:32:41.243000+00:00,Agree,20-30 hours,Neutral,Neutral,Agree,Agree,Disagree,Never,Very satisfied,Good,Neutral,,,,,
orenth15,2022-11-18 13:51:46.545000+00:00,Agree,20-30 hours,Neutral,Neutral,Agree,Neutral,Neutral,Never,Somewhat satisfied,Good,Neutral,,,,,
orenth15,2022-11-25 16:47:46.748000+00:00,Agree,20-30 hours,,,,Neutral,,,Somewhat satisfied,Good,Neutral,Disagree,Never,Never,Never,Neutral
orenth15,2022-11-30 07:01:14.398000+00:00,Agree,20-30 hours,,,,Neutral,,,Somewhat satisfied,Good,Neutral,Disagree,Never,Never,Never,Neutral
orenth16,2022-11-02 08:40:51.988000+00:00,Strong Agree,20-30 hours,Strongly disagree,Strongly disagree,Strong Agree,Agree,Strongly disagree,Never,Extremly satisfied,Good,Unlikely,,,,,
orenth16,2022-11-10 07:31:23.289000+00:00,Strong Agree,30-40 hours,Strongly disagree,Strongly disagree,Strong Agree,Strong Agree,Strongly disagree,Never,Extremly satisfied,Excellent,Extremely unlikely,,,,,
orenth16,2022-11-16 10:00:54.628000+00:00,Strong Agree,30-40 hours,Strongly disagree,Strongly disagree,Strong Agree,Strong Agree,Strongly disagree,Never,Extremly satisfied,Excellent,Extremely unlikely,,,,,
orenth16,2022-11-24 12:27:21.963000+00:00,Strongly agree,30-40 hours,,,,Strongly agree,,,Extremly satisfied,Excellent,Extremely unlikely,Strongly agree,No intervention messages received,No intervention messages received,Seldom,Strongly disagree
orenth16,2022-11-30 07:04:47.484000+00:00,Strongly agree,30-40 hours,,,,Strongly agree,,,Extremly satisfied,Excellent,Extremely unlikely,Strongly agree,Seldom,Never,Sometimes,Strongly disagree
orenth17,2022-11-11 16:40:40.319000+00:00,Somewhat agree,10-20 hours,Disagree,Disagree,Agree,Somewhat agree,Neutral,Never,Somewhat satisfied,Fair,Neutral,,,,,
orenth17,2022-11-18 02:02:37.870000+00:00,Agree,>50 hours,Strongly disagree,Disagree,Strong Agree,Agree,Disagree,Never,Very satisfied,Good,Neutral,,,,,
orenth17,2022-11-25 07:32:18.897000+00:00,Agree,40-50 hours,,,,Agree,,,Somewhat satisfied,Good,Neutral,Agree,Never,Never,Never,Disgree
orenth18,2022-11-11 08:00:57.503000+00:00,Agree,>50 hours,Neutral,Neutral,Agree,Agree,Neutral,Never,Very satisfied,Good,Unlikely,,,,,
orenth18,2022-11-18 08:01:54.907000+00:00,Agree,>50 hours,Neutral,Neutral,Agree,Agree,Neutral,Never,Somewhat satisfied,Good,Neutral,,,,,
orenth18,2022-11-25 01:15:27.548000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Unlikely,Neutral,Never,Never,Seldom,Neutral
orenth18,2022-11-29 13:23:14.762000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Neutral,Agree,Never,Never,Never,Neutral
orenth19,2022-11-09 01:16:44.302000+00:00,Somewhat agree,>50 hours,Neutral,Somewhat disagree,Strong Agree,Agree,Somewhat agree,Never,Somewhat satisfied,Good,Likely,,,,,
orenth19,2022-11-16 01:16:21.086000+00:00,Somewhat agree,40-50 hours,Somewhat agree,Somewhat disagree,Strong Agree,Agree,Neutral,Never,Somewhat satisfied,Good,Likely,,,,,
orenth19,2022-11-23 01:15:51.064000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Agree,Seldom,Never,Never,Neutral
orenth19,2022-11-30 03:01:42.025000+00:00,Agree,40-50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Never,Never,Seldom,Neutral
orenth20,2022-11-09 01:39:25.257000+00:00,Strong Agree,>50 hours,Strongly disagree,Strongly disagree,Strong Agree,Strong Agree,Strongly disagree,Never,Extremly satisfied,Good,Neutral,,,,,
orenth20,2022-11-16 02:30:24.685000+00:00,Strong Agree,>50 hours,Disagree,Disagree,Strong Agree,Agree,Disagree,Rarely,Somewhat satisfied,Excellent,Likely,,,,,
orenth20,2022-11-23 03:14:46.046000+00:00,Strongly agree,>50 hours,,,,Agree,,,Very satisfied,Good,Neutral,Agree,No intervention messages received,No intervention messages received,Never,Strongly disagree
orenth21,2022-11-08 06:10:36.406000+00:00,Strong Agree,>50 hours,Strongly disagree,Strongly disagree,Strong Agree,Strong Agree,Disagree,Never,Very satisfied,Good,Neutral,,,,,
orenth21,2022-11-09 01:29:43.030000+00:00,Agree,>50 hours,Strongly disagree,Strongly disagree,Strong Agree,Strong Agree,Strong Agree,Never,Very satisfied,Fair,Likely,,,,,
orenth21,2022-11-19 01:57:23.879000+00:00,Agree,>50 hours,Agree,Agree,Agree,Agree,Agree,Never,Somewhat satisfied,Good,Likely,,,,,
orenth21,2022-11-30 01:37:45.614000+00:00,Agree,>50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Likely,Agree,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth22,2022-11-09 02:40:41.159000+00:00,Agree,>50 hours,Disagree,Disagree,Agree,Neutral,Disagree,Very rarely,Very satisfied,Good,Unlikely,,,,,
orenth22,2022-11-23 01:15:50.109000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,No intervention messages received,Never,No intervention messages received,No intervention messages received,No intervention messages received
orenth22,2022-12-07 11:12:00.917000+00:00,Agree,>50 hours,,,,Strongly agree,,,Very satisfied,Good,Likely,Neutral,Seldom,Never,Never,Strongly disagree
orenth23,2022-11-15 01:01:35.199000+00:00,Strong Agree,>50 hours,Strongly disagree,Strongly disagree,Strong Agree,Agree,Neutral,Never,Very satisfied,Excellent,Extremely likely,,,,,
orenth23,2022-11-20 09:08:36.912000+00:00,Strong Agree,>50 hours,Strongly disagree,Strongly disagree,Strong Agree,Agree,Neutral,Never,Very satisfied,Excellent,Extremely likely,,,,,
orenth23,2022-11-23 01:16:48.038000+00:00,Strongly agree,>50 hours,,,,Agree,,,Very satisfied,Good,Extremely likely,Agree,Never,Never,Never,Strongly disagree
orenth24,2022-11-17 03:26:54.881000+00:00,Somewhat disagree,>50 hours,Neutral,Neutral,Agree,Disagree,Disagree,Occasionally,Not so satisfied,Poor,Unlikely,,,,,
orenth24,2022-11-20 02:13:08.101000+00:00,Somewhat disagree,30-40 hours,Neutral,Neutral,Agree,Disagree,Disagree,Occasionally,Not so satisfied,Poor,Unlikely,,,,,
orenth25,2022-11-18 12:48:55.549000+00:00,Somewhat agree,>50 hours,Neutral,Somewhat agree,Strong Agree,Somewhat agree,Disagree,Never,Somewhat satisfied,Fair,Unlikely,,,,,
orenth25,2022-11-23 08:33:23.784000+00:00,Neutral,>50 hours,,,,Disgree,,,Somewhat satisfied,Fair,Unlikely,Disagree,Never,No intervention messages received,Never,Agree
orenth26,2022-11-19 03:57:10.559000+00:00,Strong Agree,20-30 hours,Disagree,Disagree,Strong Agree,Strong Agree,Disagree,Never,Very satisfied,Excellent,Likely,,,,,
orenth26,2022-11-30 13:06:49.250000+00:00,Strongly agree,20-30 hours,,,,Strongly agree,,,Extremly satisfied,Excellent,Extremely likely,Agree,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth26,2022-12-10 07:00:59.755000+00:00,Strongly agree,10-20 hours,,,,Strongly agree,,,Extremly satisfied,Excellent,Likely,Agree,Sometimes,Sometimes,Often,Disgree
orenth26,2023-01-08 01:36:04.896000+00:00,Agree,30-40 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Agree,Often,Often,Often,Disgree
orenth27,2022-11-17 09:20:25.799000+00:00,Somewhat agree,20-30 hours,Somewhat agree,Somewhat agree,Strong Agree,Agree,Agree,Rarely,Somewhat satisfied,Excellent,Extremely likely,,,,,
orenth27,2022-11-30 00:35:18.006000+00:00,Agree,30-40 hours,,,,Agree,,,Somewhat satisfied,Fair,Likely,Agree,Often,Sometimes,Often,Agree
orenth27,2022-12-11 06:44:17.081000+00:00,Strongly agree,20-30 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Often,Often,Often,Agree
orenth27,2022-12-22 04:14:08.823000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Often,Often,Often,Agree
orenth27,2022-12-26 22:30:43.786000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Often,Often,Often,Agree
orenth27,2023-01-07 06:47:44.417000+00:00,Agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Often,Often,Often,Agree
orenth27,2023-01-09 01:42:25.623000+00:00,Strongly agree,<10 hours,,,,Neutral,,,Very satisfied,Good,Likely,Agree,Often,Often,Often,Agree
orenth28,2022-11-16 03:50:08.583000+00:00,Agree,40-50 hours,Somewhat disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Rarely,Very satisfied,Good,Likely,,,,,
orenth28,2022-11-23 01:05:58.853000+00:00,Agree,<10 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Often,Sometimes,Sometimes,Disgree
orenth28,2022-11-26 09:02:38.733000+00:00,Agree,<10 hours,,,,Agree,,,Very satisfied,Excellent,Extremely likely,Agree,Sometimes,Often,Sometimes,Disgree
orenth28,2022-11-29 03:44:21.789000+00:00,Strongly agree,<10 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Often,Sometimes,Disgree
orenth28,2022-12-02 05:15:56.854000+00:00,Agree,<10 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Disgree
orenth28,2022-12-05 02:49:20.576000+00:00,Agree,<10 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Disgree
orenth28,2022-12-07 02:48:13.740000+00:00,Agree,<10 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Disgree
orenth28,2022-12-14 01:15:13.421000+00:00,Agree,<10 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Disgree
orenth28,2022-12-21 01:20:05.358000+00:00,Agree,<10 hours,,,,Agree,,,Very satisfied,Good,Extremely likely,Agree,Seldom,Sometimes,Sometimes,Disgree
orenth28,2022-12-28 02:16:46.134000+00:00,Agree,<10 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Disgree
orenth29,2022-11-29 00:40:22.065000+00:00,Strongly agree,30-40 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Strongly agree,Often,Sometimes,Often,Disgree
orenth29,2022-11-30 14:37:06.153000+00:00,Strongly agree,>50 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Agree,Sometimes,Sometimes,Often,Neutral
orenth29,2022-12-03 07:03:09.364000+00:00,Strongly agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Strongly agree,Sometimes,Seldom,Sometimes,Neutral
orenth29,2022-12-06 13:00:59.167000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Strongly agree,Sometimes,Often,Sometimes,Neutral
orenth29,2022-12-08 13:01:11.809000+00:00,Agree,>50 hours,,,,Strongly agree,,,Very satisfied,Excellent,Likely,Agree,Sometimes,Sometimes,Often,Neutral
orenth29,2022-12-12 13:00:53.448000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Agree
orenth29,2022-12-16 06:42:35.321000+00:00,Strongly agree,>50 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Agree,Sometimes,Sometimes,Sometimes,Neutral
orenth29,2022-12-23 13:17:44.921000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Agree,Sometimes,Seldom,Often,Neutral
orenth29,2022-12-24 13:01:32.218000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Neutral
orenth29,2023-01-05 11:29:54.968000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Strongly agree,Sometimes,Sometimes,Sometimes,Neutral
orenth29,2023-01-07 12:58:04.709000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Seldom,Sometimes,Neutral
orenth29,2023-01-12 13:00:52.649000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Neutral
orenth29,2023-01-15 04:00:50.573000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Sometimes,Sometimes,Neutral
orenth31,2022-12-01 01:15:34.850000+00:00,Agree,>50 hours,,,,Neutral,,,Very satisfied,Fair,Neutral,Agree,Seldom,Seldom,Seldom,Strongly disagree
orenth31,2022-12-20 05:11:18.703000+00:00,Agree,>50 hours,,,,Neutral,,,Somewhat satisfied,Good,Neutral,Agree,Sometimes,Sometimes,Sometimes,Disgree
orenth31,2022-12-21 01:49:55.782000+00:00,Agree,>50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Neutral
orenth31,2023-01-09 06:26:21.414000+00:00,Neutral,>50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Neutral
orenth31,2023-01-11 01:04:17.162000+00:00,Neutral,>50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Agree,Sometimes,Sometimes,Sometimes,Neutral
orenth31,2023-01-25 04:16:53.005000+00:00,Neutral,>50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Neutral,Sometimes,Sometimes,Sometimes,Neutral
orenth31,2023-02-15 07:10:38.953000+00:00,Neutral,>50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Neutral,Agree,Sometimes,Sometimes,Sometimes,Neutral
orenth32,2022-11-30 00:48:24.818000+00:00,Strongly agree,10-20 hours,,,,Agree,,,Somewhat satisfied,Fair,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth32,2022-12-07 04:30:17.409000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Fair,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth32,2022-12-14 04:56:15.503000+00:00,Agree,>50 hours,,,,Agree,,,Somewhat satisfied,Fair,Neutral,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth32,2022-12-23 05:06:07.920000+00:00,Neutral,>50 hours,,,,Disgree,,,Somewhat satisfied,Fair,Neutral,Agree,Never,Never,Never,Strongly disagree
orenth32,2022-12-30 02:31:51.909000+00:00,Neutral,>50 hours,,,,Neutral,,,Somewhat satisfied,Fair,Likely,Agree,Seldom,Sometimes,Sometimes,Disgree
orenth33,2022-11-30 10:07:06.611000+00:00,Strongly agree,>50 hours,,,,Strongly agree,,,Very satisfied,Excellent,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,Disgree
orenth33,2022-12-09 16:38:13.879000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Neutral,Sometimes,Sometimes,Sometimes,Strongly disagree
orenth33,2022-12-15 08:38:58.066000+00:00,Agree,40-50 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Agree,Sometimes,Sometimes,Sometimes,Disgree
orenth33,2022-12-21 07:41:23.630000+00:00,Agree,40-50 hours,,,,Agree,,,Very satisfied,Excellent,Likely,Agree,Sometimes,Sometimes,Sometimes,Disgree
orenth33,2022-12-27 04:53:35.849000+00:00,Agree,>50 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Sometimes,Seldom,Sometimes,Disgree
orenth34,2022-11-29 04:01:31.913000+00:00,Agree,<10 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth34,2022-11-30 01:18:30.646000+00:00,Agree,10-20 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth34,2022-12-07 01:47:14.083000+00:00,Strongly agree,10-20 hours,,,,Agree,,,Very satisfied,Excellent,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth34,2022-12-14 01:14:56.441000+00:00,Strongly agree,10-20 hours,,,,Agree,,,Very satisfied,Good,Likely,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received,No intervention messages received
orenth34,2022-12-21 01:20:36.940000+00:00,Strongly agree,20-30 hours,,,,Strongly agree,,,Extremly satisfied,Excellent,Likely,Agree,Often,No intervention messages received,Always,Disgree
orenth34,2022-12-28 04:01:34.621000+00:00,Strongly agree,20-30 hours,,,,Agree,,,Very satisfied,Good,Likely,Strongly agree,No intervention messages received,No intervention messages received,Always,Disgree
orenth35,2022-11-30 03:59:52.186000+00:00,Agree,40-50 hours,,,,Agree,,,Somewhat satisfied,Good,Likely,Neutral,Sometimes,Sometimes,Often,Disgree
orenth35,2022-12-07 07:16:47.182000+00:00,Agree,20-30 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Never,Seldom,Never,Strongly disagree
orenth35,2022-12-15 09:21:09.460000+00:00,Agree,20-30 hours,,,,Agree,,,Very satisfied,Good,Likely,Agree,Never,Sometimes,Never,Disgree
